Account_Number,Meter_ID,Service_Address,Billing_Start,Billing_End,Usage_kWh,Peak_Demand_kW,Tariff_Code,Total_Charges_GBP
ACC-783429,MTR-001A,Unit 1 - Main Office 42 Industrial Way London E1 6LT,2024-01-03,2024-02-01,45230,125.3,LV-SME-1,4823.50
ACC-783429,MTR-001A,Unit 1 - Main Office 42 Industrial Way London E1 6LT,2024-02-01,2024-03-01,41800,119.7,LV-SME-1,4462.20
ACC-783429,MTR-001A,Unit 1 - Main Office 42 Industrial Way London E1 6LT,2024-03-01,2024-04-02,44100,121.5,LV-SME-1,4707.90
ACC-783429,,Unit 1 - Main Office 42 Industrial Way London E1 6LT,2024-04-02,2024-04-30,38750,115.0,LV-SME-1,4137.50
ACC-892341,MTR-002B,Warehouse B 15 Commerce Park Birmingham B6 7AP,2024-01-05,2024-02-04,12.8,310.0,HV-IND-3,9856.40
ACC-892341,MTR-002B,Warehouse B 15 Commerce Park Birmingham B6 7AP,2024-02-04,2024-03-05,11.95,295.2,HV-IND-3,9201.50
ACC-892341,MTR-002B,Warehouse B 15 Commerce Park Birmingham B6 7AP,2024-03-05,2024-04-08,13.1,325.8,HV-IND-3,10088.00
ACC-892341,MTR-002B,Warehouse B 15 Commerce Park Birmingham B6 7AP,2024-04-08,2024-05-06,12.3,308.4,HV-IND-3,9471.00
ACC-341876,MTR-003C,Data Centre - Rack Suite 7 Manchester M1 2HX,2024-01-02,2024-02-02,198400,520.0,HV-DC-5,21824.00
ACC-341876,MTR-003C,Data Centre - Rack Suite 7 Manchester M1 2HX,2024-02-02,2024-03-07,187600,512.3,HV-DC-5,20636.00
ACC-341876,MTR-003C,Data Centre - Rack Suite 7 Manchester M1 2HX,2024-03-07,2024-04-05,195200,518.0,HV-DC-5,21472.00
ACC-341876,MTR-003C,Data Centre - Rack Suite 7 Manchester M1 2HX,2024-04-05,2024-05-09,204800,529.6,HV-DC-5,22528.00
